id	name	north	south	east	west	high	low
1	Albion, Mendocino Co., California, USA	39.2408	39.2153	-123.738	-123.778	100	0
2	Burbank, California, USA	34.22	34.15	-118.29	-118.37	294	148
3	Mitrula Marsh, Tahoe National Forest, Sierra Co., California, USA	39.6272	39.6226	-120.614	-120.62	NULL	NULL
4	Salt Point State Park, Sonoma Co., California, USA	38.5923	38.5584	-123.283	-123.343	100	0
5	Gualala, Mendocino Co., California, USA	38.7868	38.7597	-123.519	-123.557	100	0
6	Elgin Co., Ontario, Canada	42.876	42.4701	-80.8044	-81.8179	NULL	NULL
7	Brett Woods, Fairfield Co., Connecticut, USA	41.2125	41.1939	-73.3215	-73.3295	NULL	NULL
8	Point Reyes National Seashore, Marin Co., California, USA	38.2441	37.9255	-122.709	-123.026	NULL	NULL
9	Howarth Park, Santa Rosa, California, USA	38.4582	38.4496	-122.663	-122.671	NULL	NULL
11	Petaluma, Sonoma Co., California, USA	38.2788	38.2055	-122.581	-122.677	NULL	NULL
12	Buttonwood, south Key Largo, Monroe Co., Florida, USA	25.0667	25.0576	-80.4722	-80.4801	5	0
13	Dove Creek Hammock, south Key Largo, Monroe Co., Florida, USA	25.0388	25.0297	-80.496	-80.5059	5	0
14	Port Bougainvillea, north Key Largo, Monroe Co., Florida, USA	25.1811	25.1735	-80.3614	-80.3662	10	0
15	Indian Key, Florida, USA	24.88	24.8772	-80.6759	-80.6782	5	0
16	Big Pine Key, Monroe Co., Florida, USA	24.7453	24.6368	-81.3282	-81.4013	10	0
17	No Name Key, Monroe Co., Florida, USA	24.7067	24.6739	-81.3117	-81.3432	5	0
18	Moran State Park, San Juan Co., Washington, USA	48.6886	48.6445	-122.792	-122.863	NULL	NULL
19	Clinton, Whidbey Island, Island Co., Washington, USA	47.9975	47.9539	-122.328	-122.369	NULL	NULL
20	Cabin Cove, Haywood Co., North Carolina, USA	35.6627	35.6462	-83.0384	-83.0598	1400	850
21	Novato, Marin Co., California, USA	38.1464	38.039	-122.486	-122.624	NULL	NULL
22	Nags Head, North Carolina, USA	35.9986	35.7755	-75.5338	-75.6773	20	0
23	Whitemarsh, Virginia, USA	37.3472	37.3437	-76.5363	-76.5458	20	0
24	Madison Heights, Pasadena, California, USA	34.1359	34.1277	-118.132	-118.141	270	240
25	Los Trancos Preserve, Palo Alto, California, USA	37.3343	37.326	-122.174	-122.186	670	540
26	South Lake Tahoe, California, USA	38.9363	38.8031	-119.921	-120.138	2290	1920
27	Bassetts, Sierra Co., California, USA	39.6395	39.5925	-120.526	-120.643	2140	1250
28	Mar Vista, Los Angeles, California, USA	34.0285	34.0023	-118.419	-118.449	NULL	NULL
29	Pipi Valley, El Dorado Co., California, USA	38.6428	38.4828	-120.251	-120.471	1920	1280
30	Natural History Museum, Los Angeles, California, USA	34.0173	34.0167	-118.287	-118.29	NULL	NULL
31	Los Feliz, Los Angeles, California, USA	34.1259	34.0986	-118.271	-118.309	NULL	NULL
32	Redwood National Park, Orick, California, USA	41.3873	41.2838	-123.99	-124.074	370	60
33	Venice, Los Angeles, California, USA	34.0068	33.9782	-118.448	-118.49	NULL	NULL
34	Menlo Park, California, USA	37.4694	37.4149	-122.141	-122.228	120	22
35	Griffith Park, Los Angeles, California, USA	34.1556	34.1087	-118.272	-118.327	NULL	NULL
36	Ortega Highway, Cleveland National Forest, California, USA	33.6588	33.6219	-117.374	-117.484	NULL	NULL
37	Culver City Veterans Memorial Hall, Culver City, California, USA	34.0134	34.0126	-118.402	-118.403	NULL	NULL
38	Chumash Interpretive Center, Thousand Oaks, California, USA	34.2133	34.2096	-118.802	-118.817	NULL	NULL
39	Wilder Ridge, Humboldt Co., California, USA	40.1783	40.1664	-124.056	-124.07	NULL	NULL
40	Murphy's Bush, Murphy's Rd., Manukau City, Auckland, New Zealand	-36.9772	-36.982	174.922	174.917	NULL	NULL
41	Mountain View, California, USA	37.4283	37.3587	-122.05	-122.124	40	15
42	Diamond and Crater Lake, Oregon, USA	43.2596	42.7463	-121.94	-122.363	2140	1440
43	Lake Crescent, Olympic National Park, Clallam Co., Washington, USA	48.0617	48.0516	-123.783	-123.803	185	175
44	China Camp State Park, Marin Co., California, USA	38.0133	37.9806	-122.456	-122.506	NULL	NULL
45	near Sterling, Alaska, USA	60.5505	60.4447	-150.092	-150.895	NULL	NULL
46	Anchorage, Alaska, USA	61.2412	61.0257	-149.685	-150.051	NULL	NULL
47	Nairobi, Kenya	-1.2331	-1.3193	36.8742	36.7403	NULL	NULL
48	Gwanak-Gu, Seoul, South Korea	37.467	37.4441	126.948	126.934	NULL	NULL
49	New Zealand	-34.3434	-47.309	178.594	166.333	3754	0
50	Humboldt Co., California, USA	41.4715	40	-123.377	-124.417	2120	0
51	Eureka, Humboldt Co., California, USA	40.8248	40.7453	-124.09	-124.208	15	0
53	Asheville, North Carolina, USA	35.6509	35.5576	-82.4644	-82.632	650	650
55	Foothill Regional Park, Windsor, California, USA	38.5659	38.5555	-122.783	-122.798	NULL	NULL
56	Crane Creek Regional Park, Rohnert Park, California, USA	38.3551	38.338	-122.641	-122.656	NULL	NULL
57	DreamWorks Campus, Glendale, California, USA	34.1587	34.1565	-118.283	-118.288	NULL	NULL
58	Santa Cruz, Santa Cruz Co., California, USA	37.0243	36.9466	-121.987	-122.088	100	0
60	Gray Whale Ranch, Santa Cruz Co., California, USA	37.0274	37.0074	-122.079	-122.113	NULL	NULL
61	Monterey Co., California, USA	36.8467	35.7955	-120.276	-121.979	NULL	NULL
62	Swanton Rd., Santa Cruz Co., California, USA	37.0967	37.0291	-122.217	-122.281	NULL	NULL
63	Bonny Doon, California, USA	37.1046	37.0086	-122.1	-122.17	NULL	NULL
64	Wolchulsan National Park, South Korea	34.774	34.7667	126.719	126.704	NULL	NULL
65	Changdeokgung, Seoul, South Korea	37.5871	37.5761	126.997	126.988	NULL	NULL
66	Hotel Parque dos Coqueiros, Aracaju, Sergipe, Brazil	-10.9973	-10.9993	-37.0558	-37.0579	NULL	NULL
67	Aracaju, Sergipe, Brazil	-10.8701	-11.0028	-37.0315	-37.118	50	0
68	Descanso Gardens, La Crescenta, California, USA	34.2043	34.195	-118.208	-118.217	NULL	NULL
69	Crescenta Valley Community Regional Park, La Crescenta, California, USA	34.227	34.2202	-118.253	-118.261	NULL	NULL
70	Marshall Fields, University of California Santa Cruz, Santa Cruz Co., California, USA	37.0204	37.0019	-122.053	-122.08	NULL	NULL
72	University of California Santa Cruz (UC Santa Cruz) (UCSC), Santa Cruz Co., California, USA	37.0035	36.9773	-122.048	-122.07	NULL	NULL
73	CYO McGucken Camp, Occidental, Sonoma Co., California, USA	38.3975	38.3914	-122.936	-122.945	NULL	NULL
74	Armstrong Redwoods State Natural Reserve, Sonoma Co., California, USA	38.5519	38.5307	-123.001	-123.018	NULL	NULL
75	Bear Valley, Point Reyes National Seashore, Marin Co., California, USA	38.0422	38.0371	-122.804	-122.815	NULL	NULL
76	Russian Gulch State Park, Mendocino Co., California, USA	39.3356	39.3246	-123.751	-123.813	NULL	NULL
77	Occidental, Sonoma Co., California, USA	38.4149	38.4001	-122.929	-122.957	NULL	NULL
78	Wildcat Mountain State Park, Vernon Co., Wisconsin, USA	43.7205	43.6748	-90.5219	-90.6	NULL	NULL
79	Lorestan, Iran	34.47	32.67	49.97	46.92	NULL	NULL
80	Bridle Trails State Park, King Co., Washington, USA	47.661	47.6463	-122.164	-122.186	NULL	NULL
81	Oakdale Dr., Cornelia, Georgia, USA	34.5447	34.5414	-83.5085	-83.5112	NULL	NULL
82	Whitethorn, California, USA	40.0318	40	-123.928	-123.952	NULL	NULL
83	Sanctuary Forest, near Whitethorn, Humboldt Co., California, USA	40.0071	40	-123.928	-123.944	NULL	NULL
84	Apalachicola National Forest, Wakulla Co., Florida, USA	30.4439	30.0572	-84.2569	-84.7183	100	0
85	Edgewood Blue, Wells Gray region, British Columbia, Canada	51.8856	51.8479	-120.011	-120.053	775	600
86	Sycamore Grove Park, Livermore, California, USA	37.6452	37.6251	-121.755	-121.783	200	145
87	Victoria, British Columbia, Canada	48.4387	48.405	-123.296	-123.415	NULL	NULL
88	Raquette Lake, Hamilton Co., New York, USA	43.8811	43.78	-74.5683	-74.6974	NULL	NULL
89	Hinton, Alberta, Canada	54.0433	51.9578	-116.565	-120.004	NULL	NULL
90	Fauntleroy Park, Seattle, King Co., Washington, USA	47.5216	47.5167	-122.379	-122.386	NULL	NULL
91	Briceland, California, USA	40.1109	40.1029	-123.896	-123.91	NULL	NULL
92	Barton Flats, San Bernardino National Forest, San Bernardino Co., California, USA	34.1874	34.154	-116.827	-116.913	NULL	NULL
93	Healdsburg, California, USA	38.6434	38.593	-122.829	-122.894	NULL	NULL
94	Jalisco, Mexico	22.4313	19.2697	-101.865	-106.062	NULL	NULL
95	Lipik, Croatia	45.4191	45.4054	17.1711	17.151	NULL	NULL
96	Buzet, Croatia	45.4129	45.3984	13.9834	13.9532	NULL	NULL
97	Forestville, California, USA	38.5033	38.4724	-122.89	-122.922	NULL	NULL
98	Monsanto, Lisboa, Portugal	38.745	38.7088	-9.1712	-9.2112	NULL	NULL
99	Avalon Peninsula, Newfoundland, Canada	48.1881	46.6117	-52.5916	-54.2285	NULL	NULL
100	Cypress Black Bayou Park, Bossier Parish, Louisiana, USA	32.716	32.6501	-93.6403	-93.7003	NULL	NULL
101	Murillo, Colombia	4.8838	4.8671	-75.1642	-75.1851	NULL	NULL
102	Redwood Valley, Mendocino Co., California, USA	39.2755	39.2543	-123.188	-123.211	NULL	NULL
103	Santa Cruz Mountains, Santa Cruz Co., California, USA	37.26	36.9883	-121.807	-122.154	1000	0
104	San Francisco State University, San Francisco, California, USA	37.7322	37.7165	-122.472	-122.492	NULL	NULL
106	Near Nevado de Colima, Mexico	19.516	19.274	-103.462	-103.782	NULL	NULL
107	Lincoln Park, Seattle, King Co., Washington, USA	47.5377	47.5253	-122.392	-122.403	NULL	NULL
108	Mason Co., Washington, USA	47.7559	47.1	-122.805	-123.473	NULL	NULL
110	Steep Rock Park, Connecticut, USA	41.8235	41.5723	-73.1305	-73.4367	NULL	NULL
111	Fort Collins, Colorado, USA	40.6202	40.4866	-104.999	-105.161	NULL	NULL
112	University of British Columbia Campus, Vancouver, British Columbia, Canada	49.2803	49.2306	-123.192	-123.268	NULL	NULL
113	Longfellow Creek, Seattle, King Co., Washington, USA	47.5563	47.5338	-122.363	-122.371	NULL	NULL
114	Camp Long, Seattle, King Co., Washington, USA	47.562	47.5538	-122.37	-122.376	NULL	NULL
115	Chazy, New York, USA	44.915	44.87	-73.4179	-73.4608	NULL	NULL
116	Ti Bar Fire Station, Siskiyou Co., California, USA	41.6134	41.5792	-123.49	-123.542	NULL	NULL
118	Tomales Bay State Park, Marin Co., California, USA	38.1892	38.0455	-122.816	-122.936	NULL	NULL
119	Rancho Nuevo Trailhead, Pine Mountain, Santa Barbara Co., California, USA	34.6984	34.6907	-119.396	-119.403	1500	1000
120	Oak Bottom Campground, Siskiyou Co., California, USA	41.383	41.3678	-123.408	-123.434	NULL	NULL
121	Bon Tempe Reservoir, Marin Co., California, USA	37.9699	37.9358	-122.584	-122.642	NULL	NULL
122	Bolinas Ridge, Marin Co., California, USA	38.0375	37.9832	-122.7	-122.751	NULL	NULL
123	Joaquin Miller Park, Oakland, Alameda Co., California, USA	37.8216	37.8031	-122.175	-122.202	NULL	NULL
124	Montreat, North Carolina, USA	35.674	35.5831	-82.2691	-82.3645	NULL	NULL
125	San Francisco, San Francisco Co., California, USA	37.812	37.7034	-122.348	-122.527	NULL	NULL
126	Portola Redwoods State Park, San Mateo Co., California, USA	37.2776	37.2287	-122.161	-122.226	NULL	NULL
127	China Flats, Ventura Co., California, USA	34.2186	34.1544	-118.712	-118.799	NULL	NULL
128	Huckleberry Botanic Regional Preserve, Contra Costa Co., California, USA	37.8467	37.8379	-122.184	-122.197	NULL	NULL
129	El Yunque, Puerto Rico, USA	18.3461	18.2382	-65.705	-65.865	NULL	NULL
130	Montclair, Oakland, California, USA	37.8566	37.7949	-122.129	-122.225	NULL	NULL
131	Arlington, Texas, USA	32.7896	32.5514	-97.0313	-97.196	NULL	NULL
132	Forest Lakes, Arizona, USA	34.3613	34.2949	-110.768	-110.832	NULL	NULL
133	Calabasas, California, USA	34.2169	34.1562	-118.715	-118.746	NULL	NULL
134	Samuel P. Taylor State Park, Marin Co., California, USA	38.0692	38.0097	-122.688	-122.775	NULL	NULL
135	Sonoma Co., California, USA	38.844	38.1129	-122.316	-123.091	NULL	NULL
136	White Mountains, Arizona, USA	33.9434	33.0271	-109.27	-109.896	NULL	NULL
138	Windsor, California, USA	38.5671	38.5104	-122.73	-122.871	NULL	NULL
140	Eastern San Francisco Bay Area, California, USA	37.9795	37.6615	-122.152	-122.354	NULL	NULL
141	Oakland Hills, Oakland, California, USA	37.9702	37.6077	-121.918	-122.154	NULL	NULL
142	Soquel Demonstration Forest, Santa Cruz Co., California, USA	37.1072	37.0727	-121.84	-121.918	NULL	NULL
143	Portola Valley, California, USA	37.398	37.3445	-122.184	-122.242	NULL	NULL
144	Wollongong, New South Wales, Australia	-34.4197	-34.4457	150.913	150.896	15	0
145	Melbourne, Victoria, Australia	-36.9148	-38.7541	146.47	142.559	NULL	NULL
146	Wellington, New Zealand	-41.2673	-41.32	174.804	174.739	NULL	0
147	Western Australia, Australia	-13.9234	-35.03	128.848	113.203	NULL	0
148	Henry Cowell Redwoods State Park, Santa Cruz Co., California, USA	37.0622	37.0101	-122.034	-122.123	NULL	NULL
149	McKinleyville, California, USA	40.976	40.918	-124.035	-124.127	NULL	NULL
150	Cristalino Jungle Lodge, Alta Floresta, Mato Grosso, Brazil	-9.59742	-9.59742	-55.9312	-55.9312	NULL	NULL
151	Mill Valley, Marin Co., California, USA	37.9291	37.8843	-122.514	-122.577	NULL	0
152	Virginia, USA	39.466	36.5408	-75.2422	-83.6754	NULL	0
153	Ohio, USA	41.71	38.43	-80.5	-84.78	NULL	NULL
154	Mastatal, Costa Rica	9.69573	9.65173	-84.3372	-84.4012	NULL	NULL
155	Czech Republic	50.91	48.62	18.8	12.3	NULL	NULL
156	Auckland, New Zealand	-36.837	-36.868	174.794	174.744	NULL	0
157	Eye See Rd., Orleans, California, USA	41.3699	41.3397	-123.527	-123.562	NULL	NULL
159	Big Thicket National Preserve, Polk Co., Texas, USA	30.6196	30.4564	-94.3015	-94.3952	NULL	NULL
160	Slate Creek Rd, Humboldt Co., California, USA	41.3149	41.2675	-123.647	-123.705	NULL	NULL
161	Mendocino Co., California, USA	39.5464	38.7027	-122.97	-123.926	NULL	NULL
162	King Co., Washington, USA	47.7803	47.0845	-121.066	-122.541	NULL	NULL
163	Malibu, California, USA	34.0947	33.9946	-118.683	-118.912	NULL	NULL
165	Pinnacles National Park, California, USA	36.5516	36.397	-121.119	-121.27	NULL	NULL
166	Marin Co., California, USA	38.1346	37.8098	-122.426	-122.813	NULL	NULL
167	southwestern Germany, Germany	49.3538	47.5172	13.3154	10.0195	NULL	NULL
168	Shreveport, Louisiana, USA	32.7411	32.2221	-93.4167	-94.01	NULL	NULL
169	Camp Creek State Forest, Mercer Co., West Virginia, USA	37.5141	37.4498	-81.1148	-81.2109	NULL	NULL
170	Lake Owen, Medicine Bow National Forest, Albany Co., Wyoming, USA	41.1807	41.1187	-106.07	-106.149	NULL	NULL
171	Brookings, Curry Co., Oregon, USA	42.1145	42.0024	-124.144	-124.346	NULL	NULL
172	Fort Bragg, Mendocino Co., California, USA	39.4711	39.4185	-123.783	-123.821	NULL	NULL
173	Junipero Serra Park, San Mateo Co., California, USA	37.6142	37.6039	-122.417	-122.428	NULL	NULL
174	Pollock Pines, El Dorado Co., California, USA	38.7969	38.7214	-120.445	-120.624	NULL	NULL
175	Pacific Palisades, Los Angeles, California, USA	34.0959	34.0083	-118.487	-118.621	NULL	NULL
176	Ojai, California, USA	34.4901	34.3723	-119.141	-119.386	NULL	NULL
177	Copper Mountain, Summit Co., Colorado, USA	39.5591	39.4277	-106.087	-106.228	NULL	NULL
178	Mashpee, Massachusetts, USA	41.6786	41.6006	-70.4505	-70.5199	NULL	NULL
179	San Jose, California, USA	37.4422	37.2281	-121.751	-122.044	NULL	NULL
180	Orlando, Florida, USA	28.746	28.3141	-81.1395	-81.6367	NULL	NULL
181	Angel Fire, New Mexico, USA	36.4555	36.3317	-105.211	-105.355	NULL	NULL
182	Huddart Park, Woodside, California, USA	37.4488	37.4236	-122.28	-122.318	NULL	NULL
183	Soquel, Santa Cruz Co., California, USA	37.0791	36.9661	-121.907	-122.002	NULL	NULL
184	Cotati, Sonoma Co., California, USA	38.3436	38.315	-122.688	-122.73	NULL	NULL
185	Nevada City, California, USA	39.2785	39.2381	-120.996	-121.047	NULL	NULL
186	Glendale, California, USA	34.1828	34.1431	-118.207	-118.3	NULL	NULL
187	San Anselmo, California, USA	37.9956	37.9637	-122.552	-122.584	NULL	NULL
188	Corte Madera, Marin Co., California, USA	37.9418	37.9155	-122.496	-122.54	NULL	NULL
189	Alpine Lake, Marin Co., California, USA	37.9622	37.9338	-122.616	-122.64	NULL	NULL
190	San Luis Obispo Co., California, USA	35.6528	34.8769	-119.718	-120.965	NULL	NULL
191	Seattle, King Co., Washington, USA	47.7341	47.4926	-122.224	-122.436	NULL	NULL
193	Monte Bello Open Space Preserve, La Honda, California, USA	37.3262	37.3153	-122.172	-122.186	NULL	NULL
194	Los Altos, California, USA	37.3846	37.3523	-122.077	-122.114	NULL	NULL
195	Woodside, California, USA	37.4438	37.4044	-122.236	-122.3	NULL	NULL
197	Harden Flat, Tuolumne Co., California, USA	37.8246	37.8023	-119.899	-119.959	NULL	NULL
198	Trinity Co., California, USA	41.16	40.2187	-122.706	-123.486	NULL	NULL
199	Pomo Campground, Jenner, California, USA	38.4525	38.395	-123.07	-123.126	NULL	NULL
200	Annadel State Park, Sonoma Co., Santa Rosa, California, USA	38.4611	38.3998	-122.573	-122.653	NULL	NULL
201	Hidden Villa, Los Altos Hills, California, USA	37.3565	37.3303	-122.145	-122.176	NULL	NULL
202	Silver Peak, Mount Baker-Snoqualmie National Forest, Washington, USA	47.3979	47.3239	-121.417	-121.54	NULL	NULL
203	Pass Island, Skagit Co., Washington, USA	48.4208	48.3918	-122.607	-122.677	NULL	NULL
204	Hoh Rainforest, Olympic National Park, Jefferson Co., Washington, USA	47.8749	47.8167	-123.835	-124.033	NULL	NULL
205	Santa Clara Co., California, USA	37.453	37.0255	-121.408	-122.176	NULL	NULL
206	Marin City, California, USA	37.8807	37.8647	-122.502	-122.523	NULL	NULL
207	Coastal Monterey Co., California, USA	36.8467	35.7955	-121.366	-122.003	NULL	NULL
209	Norfolk Co., Ontario, Canada	42.9846	42.5268	-80.1453	-80.7385	NULL	NULL
210	Cook Co., Illinois, USA	42.1542	41.4685	-87.526	-88.269	290	177
211	Natrona Co., Wyoming, USA	43.421	42.2936	-106.04	-107.468	NULL	NULL
212	Gallatin Co., Montana, USA	46.3318	44.4808	-110.918	-111.929	NULL	NULL
213	Kingsbury, New York, USA	43.3841	43.3367	-73.5033	-73.5734	NULL	NULL
214	North Carolina, USA	36.5273	34.7416	-75.8496	-83.7598	NULL	NULL
215	San Salvador Island, The Bahamas	24.1518	23.9348	-74.42	-74.5738	NULL	NULL
216	Malibu Creek State Park, Malibu, California, USA	34.1266	34.064	-118.7	-118.78	NULL	NULL
217	Cleveland National Forest, Riverside Co., California, USA	33.8636	33.452	-117.317	-117.658	NULL	NULL
218	Plaskett Meadows, Glenn Co., California, USA	39.7378	39.7104	-122.823	-122.867	NULL	NULL
219	Kent Lake, Marin Co., California, USA	37.9997	37.9604	-122.657	-122.709	NULL	NULL
220	Lake Tahoe, California, USA	39.2705	38.8611	-120.004	-120.248	NULL	NULL
221	Mumbai, Maharashtra, India	19.2695	18.8908	72.98	72.7759	NULL	NULL
222	Garberville, California, USA	40.1272	40.0733	-123.753	-123.828	NULL	NULL
223	Topanga Canyon, Los Angeles Co., California, USA	34.1311	34.0288	-118.536	-118.632	NULL	NULL
224	Los Angeles Co., California, USA	34.8232	32.75	-117.646	-118.952	NULL	NULL
225	Evergreen Rd., Stanislaus National Forest, Tuolumne Co., California, USA	37.8833	37.8101	-119.844	-119.876	NULL	NULL
226	Huntingdon Co., Pennsylvania, USA	40.7218	40.147	-77.752	-78.175	600	200
227	Fairfield, Connecticut, USA	41.1595	41.1156	-73.2225	-73.3008	NULL	NULL
228	Bushland Park, Lane Cove, New South Wales, Australia	-33.8183	-33.8297	151.184	151.175	NULL	NULL
229	Magalia, California, USA	39.8702	39.8033	-121.564	-121.614	NULL	NULL
230	Salmon River State Forest, Westchester, Connecticut, USA	41.5733	41.5466	-72.408	-72.4504	NULL	NULL
231	Nibletts Bluff Park, Vinton, Louisiana, USA	30.2288	30.1564	-93.631	-93.7182	NULL	NULL
232	Medicine Lake, Mount Shasta, California, USA	41.6401	41.4427	-121.47	-121.816	NULL	NULL
233	Toro Park, Monterey Co., California, USA	36.6199	36.5483	-121.607	-121.716	NULL	NULL
234	Harms Woods, near Harms Rd. and Old Orchard Rd., near Glenview, Illinois, USA	42.0815	42.0456	-87.7596	-87.7902	NULL	NULL
235	Prior Lake, Minnesota, USA	44.7555	44.6853	-93.3865	-93.4937	NULL	NULL
236	Taita Hills, Coast Prov., Kenya	-3.2721	-3.486	38.4686	38.2654	NULL	NULL
237	Arnprior, Ontario, Canada	45.4515	45.3965	-76.274	-76.4188	NULL	NULL
238	Union Co., New Jersey, USA	40.776	40.638	-74.213	-74.41	NULL	0
239	El Dorado Co., California, USA	38.9765	38.5954	-119.861	-120.943	NULL	NULL
240	Jedediah Smith State Park, Del Norte Co., California, USA	41.8396	41.7293	-124.059	-124.148	NULL	NULL
241	Allegheny Co., Pennsylvania, USA	40.6745	40.1943	-79.6907	-80.3609	NULL	NULL
242	Kansas, USA	39.9434	37.0201	-94.6143	-102.041	NULL	NULL
243	Schmitz Preserve Park, Seattle, King Co., Washington, USA	47.5776	47.5711	-122.397	-122.403	NULL	NULL
244	New Hogan Lake, Calaveras Co., California, USA	38.2101	38.1075	-120.723	-120.824	NULL	NULL
245	Belmont Co., Ohio, USA	40.1706	39.8725	-80.7572	-81.2247	NULL	NULL
246	Tamarindo, Costa Rica	10.3106	10.2912	-85.8303	-85.8458	NULL	NULL
247	Mafra, Portugal	38.9914	38.8782	-9.2422	-9.3823	NULL	NULL
248	Fontainhas, Sezimbra, Portugal	38.608	38.538	-9.05	-9.1324	NULL	NULL
249	Deer Grove West, Deer Grove Forest Preserve, Cook Co., Illinois, USA	42.1541	42.1336	-88.0628	-88.1007	NULL	NULL
251	Washington, USA	49.0667	45.614	-116.938	-125.156	NULL	NULL
252	Cincinnati, Hamilton Co., Ohio, USA	39.2327	39.0408	-84.326	-84.6256	NULL	NULL
253	Lake Almanor, California, USA	40.3675	40.1075	-120.894	-121.352	NULL	NULL
254	Greenville, California, USA	40.1752	40.1054	-120.872	-120.997	NULL	NULL
255	New South Wales, Australia	-28.8447	-36.1734	153.677	140.889	NULL	NULL
256	Emmet Co., Michigan, USA	45.8039	45.356	-84.7568	-85.1385	NULL	NULL
257	Marble Creek Campground, Madison Co., Missouri, USA	37.4499	37.4499	-90.5406	-90.5406	NULL	NULL
258	Eastern Shasta-Trinity National Forest, Siskiyou Co., California, USA	41.5815	40.9669	-121.571	-122.541	NULL	NULL
259	Diamond Lake, Douglas Co., Oregon, USA	43.247	43.098	-122.088	-122.245	NULL	NULL
260	Kundabung, New South Wales, Australia	-31.1423	-31.2862	152.9	152.692	NULL	NULL
261	Watson, Oklahoma, USA	34.4602	34.423	-94.5372	-94.5778	NULL	NULL
262	Swans Crossing State Forest, New South Wales, Australia	-31.5721	-31.6499	152.625	152.548	NULL	NULL
263	Maine, USA	47.443	42.876	-66.9067	-71.1035	NULL	NULL
264	State Forest near Comboyne, New South Wales, Australia	-31.578	-31.6364	152.492	152.433	NULL	NULL
265	Albany Co., Wyoming, USA	41.984	41.0131	-105.491	-106.381	NULL	NULL
266	Wildcat Hollow, Wayne National Forest, Ohio, USA	39.6787	39.5591	-81.9086	-82.0981	NULL	NULL
267	near Stampede Pass, Kittitas Co., Washington, USA	47.3686	47.2205	-121.215	-121.348	NULL	NULL
268	Strouds Run State Park, Athens, Ohio, USA	39.3784	39.3274	-82.0068	-82.072	NULL	NULL
269	Wilson River Primitive Reserve, New South Wales, Australia	-31.1851	-31.2302	152.512	152.445	NULL	NULL
270	Monarch Pass, Colorado, USA	38.5804	38.389	-106.307	-106.422	NULL	NULL
271	Wachusett Mountain State Reservation, Princeton, Massachusetts, USA	42.5074	42.4745	-71.8806	-71.9084	NULL	NULL
272	Lake Bistineau State Park, Webster Parish, Louisiana, USA	32.4646	32.4376	-93.357	-93.3958	NULL	NULL
273	McCloud, California, USA	41.285	41.2355	-122.112	-122.167	NULL	NULL
274	Wilson River, New South Wales, Australia	-31.1813	-31.2341	152.51	152.448	NULL	NULL
275	Crystal Springs Campground, Kittitas Co., Washington, USA	47.3179	47.299	-121.301	-121.324	NULL	NULL
276	Loup Loup Pass, Okanogan Co., Washington, USA	48.4308	48.341	-119.747	-119.955	NULL	NULL
277	Martin Dies Jr. State Park, Jasper Co., Texas, USA	30.861	30.8465	-94.2076	-94.2222	NULL	NULL
279	Forest 44 Conservation Area, Saint Louis Co., Missouri, USA	38.5318	38.5118	-90.5073	-90.5473	NULL	NULL
280	Broad Meadow Brook, Worcester, Massachusetts, USA	42.2455	42.2196	-71.7637	-71.7871	NULL	NULL
281	Alpharetta, Georgia, USA	34.088	34.0566	-84.2466	-84.306	NULL	NULL
282	Roswell, Georgia, USA	34.0515	34.0143	-84.3178	-84.3584	NULL	NULL
283	Fulton Co., Georgia, USA	34.186	33.511	-84.098	-84.832	NULL	NULL
285	Cherokee Co., Georgia, USA	34.3766	34.0903	-84.2902	-84.6269	NULL	NULL
286	Planoles, Vall de Ribes, Girona, Spain	42.2896	42.2894	2.088	2.087	NULL	NULL
287	Georgia, USA	34.994	30.5623	-80.7715	-85.6934	NULL	NULL
288	La Crosse, Wisconsin, USA	44	43.7	-91.1	-91.4	360	150
290	southeastern Ontario, Ontario, Canada	46.3166	42.2936	-74.4057	-83.2039	NULL	NULL
291	Boone, North Carolina, USA	36.241	36.175	-81.6188	-81.7156	NULL	NULL
292	Hershey, Pennsylvania, USA	40.3204	40.2575	-76.5994	-76.7024	NULL	NULL
293	Highlands, North Carolina, USA	35.0952	35.0277	-83.1624	-83.2613	NULL	NULL
294	Zaleski State Forest, Ohio, USA	39.3853	39.2673	-82.3041	-82.4716	NULL	NULL
295	Gothenburg, Sweden	57.795	57.5659	12.2278	11.7664	NULL	NULL
296	near Ithaca, Tompkins Co., New York, USA	42.483	42.406	-76.358	-76.543	NULL	NULL
297	Kinns Rd. Park, Clifton Park, New York, USA	42.8892	42.8823	-73.8065	-73.8123	NULL	NULL
298	Portland, Multnomah Co., Oregon, USA	45.652	45.433	-122.473	-122.837	NULL	NULL
299	Surprise Lake, Snohomish Co., Washington, USA	47.7038	47.6672	-121.138	-121.163	1500	600
300	Southeastern Wilton, New York, USA	43.119	43.097	-73.6578	-73.6882	NULL	NULL
301	San Leandro, California, USA	37.735	37.694	-122.108	-122.194	245	0
302	Pasadena, California, USA	34.1689	34.1192	-118.063	-118.175	200	100
303	Little Grand Canyon, Carbondale, Illinois, USA	37.6803	37.6803	-89.395	-89.395	NULL	NULL
304	Michigan State University, East Lansing, Michigan, USA	42.7354	42.7118	-84.4624	-84.4977	NULL	NULL
305	Mount Pisgah Arboretum, Lane Co., Oregon, USA	44.0241	43.9895	-122.942	-122.997	NULL	NULL
306	Babcock State Park, Fayette Co., West Virginia, USA	38.0062	37.9617	-80.9038	-80.9879	NULL	NULL
