id	name	north	south	east	west	high	low
13922	Kroger Hills, Ohio, USA	39.153	39.1462	-84.3174	-84.3358	NULL	NULL
13924	Toms Creek, Pennsylvania, USA	41.1415	41.1251	-74.9521	-74.9682	NULL	NULL
13925	Annie’s Playground at Edgeley Grove Park, Fallston, Maryland, USA	39.5151	39.5124	-76.3791	-76.3825	NULL	NULL
13926	Fallston Walmart Supercenter, 303 Fallston Blvd, Fallston, Maryland, USA	39.4994	39.4978	-76.3842	-76.3866	NULL	NULL
13927	Young Lake, Camp Barnard (boy scout camp), Sooke, Vancouver Island, British Columbia, Canada	48.4125	48.4015	-123.757	-123.768	NULL	NULL
13928	7801 Capwell Dr, Oakland, California, USA	37.7415	37.7388	-122.204	-122.206	NULL	NULL
13929	Glocester, Rhode Island, USA	41.9341	41.8544	-71.5751	-71.7978	NULL	NULL
13930	Minsi Lake Vernal Pool Area, Northhampton County Park, Bangor, Pennsylvania, USA	40.939	40.9337	-75.1608	-75.1684	NULL	NULL
13931	Indiana County, Pennsylvania, USA	40.9113	40.3687	-78.799	-79.4599	NULL	NULL
13932	Mecan River Pine-Oak Forest State Natural Area, Wisconsin, USA	43.9594	43.9521	-89.3416	-89.3471	NULL	NULL
13933	Puna Trail to Ha'ena, Hawaii, USA	19.645	19.6186	-154.96	-154.984	NULL	NULL
13934	Laurel Summit State Park, Pennsylvania, USA	40.1189	40.1162	-79.1757	-79.1784	NULL	NULL
13935	Big Pats Creek near Warburton, Victoria, Australia	-37.75	-37.778	145.766	145.73	NULL	NULL
13936	Emmorton Elementary School, Bel Air, Maryland, USA	39.4884	39.4853	-76.3284	-76.3309	NULL	NULL
13937	Inglis, Florida, USA	29.0416	29.0176	-82.6362	-82.6933	NULL	NULL
13938	Vargem Grande, Rio de Janeiro, Brazil	-22.4844	-22.4985	-43.8139	-43.825	NULL	NULL
13939	Letchworth State Park, Mount Morris, New York, USA	42.7442	42.6815	-77.8971	-77.9681	NULL	NULL
13940	Joshimutt, Uttarakhand, India	30.5668	30.5416	79.5832	79.5433	NULL	NULL
13941	Southpoint Lane, Livingston, Texas, USA	30.6918	30.6897	-94.9472	-94.9497	NULL	NULL
13942	Caverton, Pennsylvania, USA	41.4272	40.902	-75.6006	-76.3197	NULL	NULL
13943	Baldpate Mountain, Hopewell, New Jersey, USA	40.3386	40.3216	-74.8567	-74.8887	NULL	NULL
13944	The Dalles, Wasco Co., Oregon, USA	45.6338	45.5852	-121.119	-121.229	NULL	NULL
13945	Bemis Woods North, Cook Co., Illinois, USA	41.8335	41.8261	-87.9005	-87.9117	NULL	NULL
13946	Yankee Woods, Cook Co., Illinois, USA	41.5938	41.5885	-87.7558	-87.7618	NULL	NULL
13947	Calais Drive, Durham, North Carolina, USA	36.106	36.0988	-78.9566	-78.9642	NULL	NULL
13948	Baldham, Bayern, Germany	48.099	48.0829	11.8238	11.8005	NULL	NULL
13951	Sanford, Maine, USA	43.4917	43.335	-70.6434	-70.872	NULL	NULL
13952	Kaimanawa Rd., Turangi, New Zealand	-39.1237	-39.1443	175.836	175.812	NULL	NULL
13953	Tree Trunk Gorge Rd., Turangi, New Zealand	-39.161	-39.1752	175.809	175.775	NULL	NULL
13954	Duraleigh x Glenwood, Raleigh, North Carolina, USA	35.8633	35.8622	-78.7108	-78.712	NULL	NULL
13955	Camp Douglas, Wisconsin, USA	43.9238	43.9137	-90.2628	-90.2825	NULL	NULL
13956	Badrinath, Uttarakhand, India	30.748	30.7354	79.4986	79.4894	NULL	NULL
13957	Hawn State Park, Sainte Genevieve Co., Missouri, USA	37.8443	37.7961	-90.1984	-90.2823	NULL	NULL
13958	Carverton, Luzerne Co., Pennsylvania, USA	41.3383	41.3011	-75.8664	-75.9294	NULL	NULL
13959	Sauk City, Wisconsin, USA	43.293	43.2624	-89.7029	-89.7434	NULL	NULL
13960	Callaghan Lake Provincial Park, British Columbia, Canada	50.2124	50.2097	-123.195	-123.198	NULL	NULL
13961	Orto Botanico di Cagliari, Cagliari, Italy	39.2234	39.2202	9.11273	9.10953	NULL	NULL
13962	Monksville Reservoir Boat Launch, Ringwood, New Jersey, USA	41.1279	41.1263	-74.3001	-74.3026	NULL	NULL
13963	Bynum Run Park, Bel Air, Maryland, USA	39.5411	39.5398	-76.3298	-76.3314	NULL	NULL
13964	Durham, California, USA	39.7133	39.5374	-121.689	-121.91	NULL	NULL
13965	Oberschöneweid, Berlin, Germany	52.4653	52.4636	13.5206	13.5159	NULL	NULL
13966	Oberschönewe, Berlin, Germany	52.4651	52.4634	13.5213	13.5158	NULL	NULL
13967	Iquitos, Peru	-3.70055	-3.80534	-73.2362	-73.3304	NULL	NULL
13968	Károlyi-kert, Budapest, Hungary	47.4927	47.4916	19.0605	19.0589	NULL	NULL
13969	Rybky, Slovakia	48.7212	48.6959	17.3534	17.3226	NULL	NULL
13970	Sierra National Forest, Fresno Co., California, USA	37.5945	36.1823	-118.372	-119.897	NULL	NULL
13971	Point Reyes Bird Observatory, Marin Co., California, USA	37.9411	37.9376	-122.737	-122.741	NULL	NULL
13972	Pine Ridge Park, Blairsville, Indiana Co., Pennsylvania, USA	40.4435	40.4408	-79.1933	-79.196	NULL	NULL
13973	Saint Mary's Falls, Glacier National Park, Montana, USA	49.0014	44.3582	-104.04	-116.05	4	4
13974	Twenty Mile Creek, Bonners Ferry, Idaho, USA	49.0011	48.5001	-116.049	-117.032	NULL	NULL
13975	Hanson's Shopping Center on Del Obispo, San Juan Capistrano, California, USA	33.499	33.4904	-117.669	-117.68	NULL	NULL
13976	Neugrimnitz, Brandenburg, Germany	52.9842	52.9727	13.849	13.8212	NULL	NULL
13977	Merwin Meadows Park Wilton, Connecticut, USA	41.1988	41.1961	-73.4341	-73.4368	NULL	NULL
13978	Deptford, New Jersey, USA	39.8633	39.7684	-75.0751	-75.1721	NULL	NULL
13979	Baumschulenweg, Berlin, Germany	52.4608	52.4588	13.5001	13.4971	NULL	NULL
13980	Panoramic Highway, Mill Valley, California, USA	37.8943	37.8938	-122.558	-122.558	NULL	NULL
13982	State Game Lands 129, Monroe Co., Pennsylvania, USA	41.0581	41.016	-75.515	-75.6325	NULL	NULL
13983	Staunton State Park, Colorado, USA	39.5025	39.486	-105.367	-105.394	NULL	NULL
13984	Portneuf, Quebec, Canada	46.7103	46.6686	-71.8498	-71.9185	NULL	NULL
13985	Lewis Center, Ohio, USA	40.214	40.1725	-82.9566	-83.0391	NULL	NULL
13986	Scio, Linn Co., Oregon, USA	44.7105	44.6983	-122.845	-122.856	NULL	NULL
13987	Ivoryton, Connecticut, USA	41.3649	41.3241	-72.4032	-72.4728	NULL	NULL
13988	Grumsiner Forst, Brandenburg, Germany	52.9853	52.9776	13.8445	13.8279	NULL	NULL
13989	Krumsiner Forst, Brandenburg, Germany	52.9946	52.8978	13.8926	13.7373	NULL	NULL
13990	Calle Dos Amigos, San Antonio, Escazú, San José, Costa Rica	9.90396	9.90178	-84.1459	-84.1467	NULL	NULL
13991	Andover, Ohio, USA	41.5844	41.564	-80.524	-80.554	1100	900
13992	Weed Beach, Darien, Connecticut, USA	41.0494	41.0454	-73.4899	-73.4944	NULL	NULL
13993	Oakland Co., Michigan, USA	42.8886	42.4717	-82.828	-83.7718	NULL	NULL
13994	Cary, North Carolina, USA	35.8968	35.6441	-78.7291	-78.9315	NULL	NULL
13995	Subhai, Uttarakhand 246443, India	30.4413	30.3787	79.6961	79.6719	NULL	NULL
13996	Abingdon Library, Abingdon, Maryland, USA	39.486	39.4818	-76.3284	-76.3331	NULL	NULL
13997	Lundy Canyon, Mono Co., California, USA	38.0395	38.0018	-119.16	-119.293	NULL	NULL
